The Broken Road;Rolling Stones;399;Rock, Blues Rock;13/09/1974
Midnight Echo of Shadows;Rolling Stones;202;Rock;25/03/2011
Lonely Stars;Rolling Stones;284;Blues Rock;22/11/1974
The Sweet Sound;Rolling Stones;389;Rock;13/08/1962
Lost River of Night;Rolling Stones;257;Rock, Blues Rock;02/01/1978
Broken Sound;Rolling Stones;270;Blues Rock;01/06/2007
The Old Stars;Rolling Stones;212;Rock;06/05/2011
Silent Journey;Rolling Stones;400;Blues Rock;12/02/2019
Sweet River;Rolling Stones;346;Rock;22/09/1999
Dancing Dream of Night;Coldplay;402;Alternative, Rock;18/02/2008
The New Lights;Coldplay;423;Alternative;28/08/1992
Golden Fire;Coldplay;440;Rock;14/04/1993
The Midnight Dream;Coldplay;255;Alternative;29/12/1984
Lost Road;Coldplay;242;Rock;05/07/2007
The Singing Stars;Coldplay;339;Alternative, Rock;24/02/1975
Chasing the River;Coldplay;300;Alternative;22/05/1985
Golden Song of Day;Coldplay;271;Rock;09/06/2006
Silent Road;Coldplay;291;Alternative;07/07/2005
Midnight Journey of Shadows;Adele;404;Pop, Soul;22/04/1991
The Sweet Soul;Adele;280;Pop;18/10/1970
Lonely Heart;Adele;282;Soul;15/09/1997
The Lost Dream;Adele;475;Pop;08/01/1973
Falling Stars;Adele;410;Soul;04/02/1974
The Silent Sound;Adele;315;Pop, Soul;23/07/1962
Whispering Echo;Adele;220;Soul;28/12/1998
Sweet Fire;Adele;360;Pop;23/06/2020
Broken Dream of Sky;Adele;233;Soul;24/02/1967
The Midnight Sky;The Weeknd;470;R&B, Electronic;05/03/2012
Sweet Echo of Night;The Weeknd;301;Pop, R&B;24/12/1980
Bright Heart;The Weeknd;442;Electronic;08/05/1963
The Lost Soul;The Weeknd;228;R&B;06/05/1999
Lonely Dream;The Weeknd;395;Pop;28/04/1980
Whispering Road;The Weeknd;400;Electronic;07/05/1996
Electric Heart;The Weeknd;308;R&B;04/02/1980
The Dancing Echo;The Weeknd;418;Pop;30/06/1994
Burning Stars;The Weeknd;339;Electronic;21/06/1964
The Golden Echo;Metallica;434;Metal, Thrash Metal;12/10/1998
Midnight Fire;Metallica;261;Metal;28/10/1992
Lonely Dream of River;Metallica;326;Thrash Metal;10/04/2001
The Silent Sound;Metallica;256;Metal;31/03/2018
Broken Heart;Metallica;466;Thrash Metal;19/06/1960
The Lost Road;Metallica;451;Metal;17/10/1965
Wild Fire;Metallica;418;Thrash Metal;24/07/1998
Burning Dream;Metallica;316;Metal;09/12/2000
Dark Heart of Sound;Metallica;377;Thrash Metal;09/07/1985
Lost Echo;Metallica;356;Metal;25/11/2006
The Chasing Sky;Linkin Park;266;Alternative, Nu Metal;04/08/1984
Whispering Shadows;Linkin Park;276;Nu Metal;13/09/1970
Lonely Echo;Linkin Park;294;Alternative;25/08/1997
The Midnight Road;Linkin Park;316;Nu Metal;16/12/1996
Broken Dream;Linkin Park;209;Alternative;16/09/1968
Wild Heart;Linkin Park;265;Nu Metal;03/06/2014
The Dancing Dream;Linkin Park;256;Alternative, Nu Metal;22/10/2004
Bright Stars of Sky;Linkin Park;301;Nu Metal;27/10/1975
Burning Echo;Linkin Park;477;Alternative;11/02/2010
The Midnight River;Daft Punk;425;Electronic, House;22/07/2002
Electric Sound;Daft Punk;276;House, Disco;08/09/1962
Golden Fire;Daft Punk;326;Electronic;21/08/2016
The Silent Night;Daft Punk;205;House;21/12/2016
Lost Dream of Sound;Daft Punk;388;Electronic, Disco;10/07/1980
Dancing Lights;Daft Punk;231;House;20/06/1999
Bright Sky;Daft Punk;407;Electronic;29/11/1983
The Sweet Sound;Daft Punk;257;House;19/06/1995
Midnight Stars;Daft Punk;299;Electronic, Disco;16/04/1998
Broken Heart;Daft Punk;373;House;30/03/1977
The Golden Dream;Rosalía;402;Flamenco Pop, R&B;18/10/1997
Dancing Stars;Rosalía;464;R&B;28/01/1965
Wild Heart;Rosalía;470;Flamenco Pop;12/06/1960
The Silent Echo;Rosalía;307;R&B;15/02/1986
Lost Fire;Rosalía;383;Flamenco Pop, R&B;12/03/1976
Midnight City;Rosalía;223;R&B;02/08/2003
Lonely Road;Rosalía;302;Flamenco Pop;29/06/1987
The Singing Heart;Rosalía;266;R&B;07/11/2024
Bright Stars;Rosalía;328;Flamenco Pop;02/03/2005
Broken Echo of Sky;Rosalía;202;R&B;18/11/1966
The Midnight Road;Guns N' Roses;327;Hard Rock;11/04/2020
Golden Fire;Guns N' Roses;320;Hard Rock, Glam Metal;16/04/1985
Wild Heart;Guns N' Roses;397;Glam Metal;25/11/1961
The Lost Sound;Guns N' Roses;422;Hard Rock;14/04/2024
Whispering Stars;Guns N' Roses;269;Glam Metal;26/07/1995
Lonely Echo;Guns N' Roses;301;Hard Rock;20/09/1970
Burning Dream;Guns N' Roses;355;Glam Metal;22/06/2024
The Sweet Echo;Guns N' Roses;363;Hard Rock;28/06/1994
Bright Dream;Guns N' Roses;235;Glam Metal;26/09/1987
The Silent Road;Billie Eilish;240;Pop, Alternative;16/02/1966
Lost Fire;Billie Eilish;263;Alternative;08/12/1998
Midnight Heart;Billie Eilish;463;Pop;02/10/2019
Whispering River;Billie Eilish;352;Alternative;23/10/2001
Lonely Echo of Shadow;Billie Eilish;220;Pop;08/11/1970
Broken Lights;Billie Eilish;473;Alternative;11/02/1981
The Sweet Sky;Billie Eilish;370;Pop;10/08/1983
Dark Dream;Billie Eilish;443;Alternative;31/10/2017
Bright Night;Billie Eilish;388;Pop, Alternative;09/01/1970
The Wild Sound;Lil Nas X;355;Hip Hop, Country Rap;11/06/1970
Midnight Heart;Lil Nas X;269;Country Rap;05/06/1972
Lonely Dream;Lil Nas X;348;Hip Hop;05/11/1963
The Lost Sky;Lil Nas X;417;Country Rap;23/08/2024
Burning Lights;Lil Nas X;253;Hip Hop;29/07/1974
Sweet River;Lil Nas X;203;Country Rap;24/03/1983
The Old Sky;Lil Nas X;391;Hip Hop;22/03/1988
Dancing Stars;Lil Nas X;320;Country Rap;20/08/2000
The Bright Sky;Lil Nas X;230;Hip Hop;18/01/1984
Golden Echo of Love;Lil Nas X;462;Country Rap;07/10/2000
The Sweet Sound;Harry Styles;430;Pop, Rock;21/05/1973
Silent Night;Harry Styles;262;Pop;14/12/2017
Lonely Heart of Sky;Harry Styles;308;Rock;12/05/2002
The Lost River;Harry Styles;285;Pop;29/09/1973
Bright Lights;Harry Styles;290;Rock;30/03/2001
Whispering Echo;Harry Styles;393;Pop;05/12/2000
Burning Stars;Harry Styles;274;Rock;25/03/2024
The Old Road;Harry Styles;297;Pop;02/06/2019
Golden Dream;Harry Styles;465;Rock;22/01/1980
Midnight Sky of Night;Harry Styles;240;Pop;11/02/1989
The Electric Heart;The Beatles;238;Pop, Classic Rock;01/11/2001
Golden Dream;The Beatles;294;Classic Rock, Pop;31/01/2016
Whispering Stars;The Beatles;314;Pop;02/01/2023
The Sweet River;The Beatles;391;Classic Rock;20/09/2017
Lonely Road;The Beatles;425;Pop;15/05/2006
Broken Dream;The Beatles;222;Classic Rock;05/05/1974
The Old Sound;The Beatles;323;Pop;17/09/1988
Dancing Lights;The Beatles;470;Classic Rock;02/12/1980
Bright Sky;The Beatles;254;Pop, Classic Rock;17/08/2019
Midnight Echo of Sky;The Beatles;211;Classic Rock;30/11/1988
The Lost River;Skank;363;Brazilian Pop, Reggae;23/08/1965
Dancing Dream;Skank;338;Brazilian Pop;25/12/1962
Golden Stars;Skank;333;Reggae, Rock;03/08/2008
The Silent Night;Skank;425;Brazilian Pop;09/09/1994
Lonely Sound;Skank;234;Reggae;04/11/1962
Broken Heart of Sky;Skank;248;Brazilian Pop;06/12/1976
Wild Fire;Skank;262;Reggae;26/03/2016
The Sweet Dream;Skank;350;Brazilian Pop, Rock;24/10/1966
Bright Road;Skank;230;Reggae;02/04/1995
Midnight City of Night;Skank;293;Brazilian Pop;10/07/2007
The Bright Sky;Maroon 5;210;Pop, Funk Rock;13/11/1976
Golden Fire;Maroon 5;302;Funk Rock;25/04/2000
Midnight Road;Maroon 5;340;Pop;08/09/1983
The Dancing Lights;Maroon 5;203;Funk Rock;13/10/1964
Lost River of Shadow;Maroon 5;246;Pop;11/12/2017
Silent Sound;Maroon 5;322;Funk Rock;23/01/2002
Whispering Dream;Maroon 5;435;Pop;14/04/1964
Broken Sky;Maroon 5;431;Funk Rock;05/02/1996
The New Dream;Maroon 5;338;Pop;16/01/2014
Burning Heart;Maroon 5;362;Funk Rock;20/03/1990
The Old Song;Taylor Swift;226;Pop, Country;15/12/1994
Lonely Heart;Taylor Swift;278;Country;24/12/1974
Silent Stars;Taylor Swift;339;Pop;22/12/1964
The Bright Sky;Taylor Swift;433;Country;12/06/1997
Lost River of Night;Taylor Swift;241;Pop;28/08/2008
Whispering Echo;Taylor Swift;347;Country;13/12/1974
Sweet Dream;Taylor Swift;452;Pop;12/03/1967
Broken Road;Taylor Swift;398;Country;18/08/1977
The Burning Stars;Taylor Swift;306;Pop, Country;21/12/1967
Golden Night of Sound;Taylor Swift;260;Country;12/05/2022
The Wild Dream;Kendrick Lamar;341;Hip Hop, Rap;16/01/1991
Midnight Sky;Kendrick Lamar;265;Rap;09/08/1964
Lonely Lights;Kendrick Lamar;392;Hip Hop;12/01/2006
The Lost Road;Kendrick Lamar;460;Rap;01/10/1973
Burning Fire;Kendrick Lamar;327;Hip Hop;18/02/1960
Sweet River;Kendrick Lamar;213;Rap;24/12/1967
The Silent Sound;Kendrick Lamar;405;Hip Hop;22/02/1992
Dark Echo;Kendrick Lamar;346;Rap;17/06/1986
Bright Night;Kendrick Lamar;300;Hip Hop;05/10/1999
Golden Heart of Sky;Kendrick Lamar;206;Rap;29/08/1973
The Electric Dream;J Balvin;346;Reggaeton, Latin Pop;19/09/1973
Golden River;J Balvin;383;Latin Pop;24/02/1970
Lonely Road;J Balvin;289;Reggaeton;31/08/1991
The Lost Echo;J Balvin;215;Latin Pop;02/12/2021
Whispering Stars;J Balvin;415;Reggaeton;25/05/2002
Sweet Sound;J Balvin;237;Latin Pop;09/07/1989
Broken Sky;J Balvin;220;Reggaeton;18/10/2016
The New Stars;J Balvin;298;Latin Pop;31/10/2005
Bright Night;J Balvin;443;Reggaeton;22/04/1991
Burning Heart of Night;J Balvin;300;Latin Pop;08/05/2008
The Sweet Sound;Beyoncé;211;R&B, Pop;19/05/1998
Midnight City;Beyoncé;294;Pop;18/07/1986
Lonely Heart;Beyoncé;465;Soul;06/12/1971
The Lost Dream;Beyoncé;374;R&B;05/06/1965
Burning Stars;Beyoncé;310;Pop;04/08/1980
Whispering Echo;Beyoncé;479;Soul;09/09/2021
Bright Sky;Beyoncé;305;R&B;12/08/1989
The Dancing Echo;Beyoncé;245;Pop;18/07/2003
Golden Fire;Beyoncé;234;Soul;13/10/2009
Broken Road;Beyoncé;290;R&B, Pop;25/02/1967
The Wild Sky;Red Hot Chili Peppers;296;Funk Rock, Alternative;27/06/2003
Midnight Dream;Red Hot Chili Peppers;230;Alternative;01/02/1967
Lonely Lights;Red Hot Chili Peppers;357;Funk Rock;27/12/1981
The Lost River;Red Hot Chili Peppers;206;Alternative;17/04/1988
Burning Fire;Red Hot Chili Peppers;271;Funk Rock;16/11/1974
Sweet Sound;Red Hot Chili Peppers;316;Alternative;27/08/2012
The Silent Road;Red Hot Chili Peppers;452;Funk Rock;14/07/2019
Dark Echo;Red Hot Chili Peppers;448;Alternative;17/10/2002
Bright Night;Red Hot Chili Peppers;388;Funk Rock, Alternative;16/10/2015
Golden Heart of Sound;Red Hot Chili Peppers;364;Alternative;28/06/1972
The Golden Night;Olivia Rodrigo;249;Pop, Alternative;10/06/2002
Whispering Dream;Olivia Rodrigo;466;Alternative;10/06/1992
Lonely Stars;Olivia Rodrigo;331;Pop;04/07/2013
The Silent Road;Olivia Rodrigo;478;Alternative;01/03/2003
Lost Fire;Olivia Rodrigo;208;Pop;20/11/1982
Midnight Echo;Olivia Rodrigo;267;Alternative;23/01/1986
Sweet River;Olivia Rodrigo;204;Pop;25/06/1989
Broken Sound;Olivia Rodrigo;295;Alternative;16/11/2015
The Bright Sky;Olivia Rodrigo;354;Pop, Alternative;26/02/1996
Burning Road;Olivia Rodrigo;441;Alternative;18/05/2018
The Wild Dream;Caetano Veloso;280;MPB, Tropicalia;03/03/2020
Midnight Sky;Caetano Veloso;346;Tropicalia;13/07/1996
Lonely Lights;Caetano Veloso;331;MPB;12/04/1975
The Lost Road;Caetano Veloso;308;Tropicalia;17/09/2010
Burning Fire;Caetano Veloso;351;MPB;05/11/1990
Sweet River;Caetano Veloso;402;Tropicalia;24/07/1990
The Silent Sound;Caetano Veloso;458;MPB;14/07/1973
Dark Echo;Caetano Veloso;306;Tropicalia;24/06/2016
Bright Night;Caetano Veloso;415;MPB, Tropicalia;24/07/1960
Golden Heart of Sound;Caetano Veloso;370;Tropicalia;29/09/2011
The Bright Night;Sia;220;Pop, Electronic;02/02/2020
Golden Dream;Sia;383;Electronic;28/02/2008
Midnight Stars;Sia;267;Pop;21/01/1993
The Dancing Lights;Sia;315;Electronic;14/11/2020
Lost River of Night;Sia;340;Pop;12/05/2007
Silent Sound;Sia;372;Electronic;01/05/1995
Whispering Echo;Sia;413;Pop;06/10/2021
Broken Sky;Sia;295;Electronic;02/04/2009
The New Dream;Sia;407;Pop;26/08/1979
Burning Heart;Sia;274;Electronic;25/07/1980
The Burning Road;Drake;401;Hip Hop, Trap;22/01/1997
Midnight Dream;Drake;327;R&B;28/02/1969
Lonely Heart;Drake;345;Hip Hop;24/10/2018
The Lost Sky;Drake;253;R&B;21/09/2014
Dancing Lights;Drake;435;Hip Hop;06/06/1990
Sweet River;Drake;398;Trap;03/05/2012
The Old Sound;Drake;314;Hip Hop, R&B;27/05/1978
Dark Echo;Drake;266;Trap;26/03/1974
Bright Night;Drake;271;Hip Hop;26/10/2013
Golden Dream of Sky;Drake;396;R&B;12/06/1962
The Wild Dream;Avicii;415;EDM, House;22/12/1983
Midnight Sky;Avicii;434;House;25/12/1966
Lonely Lights;Avicii;327;EDM;23/11/2000
The Lost Road;Avicii;224;House;23/09/1972
Burning Fire;Avicii;259;EDM;11/04/1965
Sweet River;Avicii;301;House;11/07/1962
The Silent Sound;Avicii;365;EDM;28/10/1970
Dark Echo;Avicii;400;House;14/06/1966
Bright Night;Avicii;333;EDM, House;17/04/1989
Golden Heart of Sound;Avicii;372;House;07/01/1992
The Silent River;Roberto Carlos;319;MPB, Brazilian Pop;07/08/2001
Lonely Heart;Roberto Carlos;265;Brazilian Pop;03/03/2005
Whispering Dream;Roberto Carlos;465;MPB;07/03/2000
The Lost Sound;Roberto Carlos;356;Brazilian Pop;16/12/2005
Burning Stars;Roberto Carlos;220;MPB;21/03/1963
Sweet Sky;Roberto Carlos;250;Brazilian Pop;04/03/1984
The New Road;Roberto Carlos;200;MPB, Brazilian Pop;02/08/2015
Golden Fire;Roberto Carlos;280;Brazilian Pop;22/07/1967
Bright Dream of Night;Roberto Carlos;400;MPB;02/10/1981
Midnight Echo of Sky;Roberto Carlos;305;Brazilian Pop;11/01/1992
The Electric Heart;Beyoncé;290;R&B, Soul;12/04/1979
Golden River;Beyoncé;310;Pop;01/02/2004
Lonely Road;Beyoncé;350;R&B;18/02/1992
The Lost Echo;Beyoncé;275;Soul;17/03/1980
Whispering Stars;Beyoncé;380;Pop;14/04/2013
Sweet Sound;Beyoncé;220;R&B;19/11/1977
Broken Sky;Beyoncé;330;Soul;10/01/2014
The New Stars;Beyoncé;400;Pop;01/09/1960
Bright Night;Beyoncé;260;R&B, Soul;19/07/1965
Burning Heart of Night;Beyoncé;300;Pop;02/10/1975
The Lonely Stars;Red Hot Chili Peppers;294;Funk Rock, Alternative;20/04/1969
Sweet River;Red Hot Chili Peppers;363;Alternative;29/01/2020
The Old Sound;Red Hot Chili Peppers;228;Funk Rock;19/08/1997
Bright Sky;Red Hot Chili Peppers;478;Alternative;23/10/2004
Lost Road of Shadow;Red Hot Chili Peppers;307;Funk Rock;30/09/1988
Silent Dream;Red Hot Chili Peppers;288;Alternative;16/05/1996
Whispering Heart;Red Hot Chili Peppers;301;Funk Rock;20/05/1976
Broken Fire;Red Hot Chili Peppers;351;Alternative;04/05/2017
The New Sound;Red Hot Chili Peppers;233;Funk Rock, Alternative;10/02/1995
Burning Stars of Night;Red Hot Chili Peppers;443;Alternative;05/10/1993
The Wild Dream;Coldplay;300;Alternative, Rock;29/11/1965
Midnight Sky;Coldplay;240;Rock;19/01/1991
Lonely Lights;Coldplay;380;Alternative;26/06/1997
The Lost Road;Coldplay;450;Rock;25/06/1995
Burning Fire;Coldplay;310;Alternative;15/10/1965
Sweet River;Coldplay;200;Rock;15/09/2010
The Silent Sound;Coldplay;400;Alternative;29/01/2005
Dark Echo;Coldplay;350;Rock;25/04/1980
Bright Night;Coldplay;290;Alternative, Rock;10/03/1987
Golden Heart of Sound;Coldplay;370;Rock;18/01/2007
The Electric Heart;The Weeknd;450;R&B, Pop;30/04/1962
Golden River;The Weeknd;300;Electronic;28/09/1994
Lonely Road;The Weeknd;360;Pop;29/10/1961
The Lost Echo;The Weeknd;280;R&B;06/08/1997
Whispering Stars;The Weeknd;400;Electronic;14/11/1993
Sweet Sound;The Weeknd;230;Pop;14/01/2023
Broken Sky;The Weeknd;340;R&B;25/01/1975
The New Stars;The Weeknd;390;Electronic;19/04/1997
Bright Night;The Weeknd;270;Pop;23/08/1999
Burning Heart of Night;The Weeknd;310;R&B, Electronic;23/12/1998
The Golden Dream;Olivia Rodrigo;280;Pop, Alternative;27/11/2000
Dancing Stars;Olivia Rodrigo;330;Alternative;05/05/1994
Wild Heart;Olivia Rodrigo;390;Pop;18/10/1980
The Silent Echo;Olivia Rodrigo;240;Alternative;11/11/1988
Lost Fire;Olivia Rodrigo;310;Pop;12/03/1980
Midnight City;Olivia Rodrigo;200;Alternative;25/02/2000
Lonely Road;Olivia Rodrigo;320;Pop;23/04/1992
The Singing Heart;Olivia Rodrigo;270;Alternative;19/09/1967
Bright Stars;Olivia Rodrigo;350;Pop, Alternative;17/02/1993
Broken Echo of Sky;Olivia Rodrigo;210;Alternative;23/01/1967
The Midnight Road;Taylor Swift;340;Pop, Country;23/01/1997
Golden Fire;Taylor Swift;300;Country;27/03/2018
Wild Heart;Taylor Swift;380;Pop;11/06/2000
The Lost Sound;Taylor Swift;410;Country;28/01/2014
Whispering Stars;Taylor Swift;250;Pop;07/11/2017
Lonely Echo;Taylor Swift;310;Country;01/03/2017
Burning Dream;Taylor Swift;360;Pop;17/05/2001
The Sweet Echo;Taylor Swift;370;Country;01/08/1971
Bright Dream;Taylor Swift;240;Pop, Country;21/01/1993
The Silent Road;Taylor Swift;280;Country;31/07/2005
The Bright Night;Harry Styles;250;Pop, Rock;07/01/1961
Golden Dream;Harry Styles;400;Rock;05/12/1998
Midnight Stars;Harry Styles;300;Pop;29/09/1997
The Dancing Lights;Harry Styles;350;Rock;17/11/1965
Lost River of Night;Harry Styles;320;Pop;06/06/1983
Silent Sound;Harry Styles;380;Rock;30/08/1985
Whispering Echo;Harry Styles;420;Pop;04/02/1988
Broken Sky;Harry Styles;300;Rock;07/07/2010
The New Dream;Harry Styles;410;Pop;26/10/1999
Burning Heart;Harry Styles;280;Rock;25/12/1977
The Wild Sound;Skank;380;Brazilian Pop, Rock;27/06/1990
Midnight Heart;Skank;250;Brazilian Pop;27/01/1973
Lonely Dream;Skank;330;Reggae;08/02/1998
The Lost Sky;Skank;400;Rock;11/08/2021
Burning Lights;Skank;270;Brazilian Pop;02/02/1981
Sweet River;Skank;220;Reggae;01/09/1983
The Old Sky;Skank;350;Rock;05/08/1990
Dancing Stars;Skank;300;Brazilian Pop;07/05/2017
The Bright Sky;Skank;240;Reggae, Rock;17/03/1983
Golden Echo of Love;Skank;470;Brazilian Pop;27/05/1988
The Sweet Sound;Rosalía;220;Flamenco Pop, R&B;18/04/1979
Silent Night;Rosalía;270;R&B;10/10/1990
Lonely Heart of Sky;Rosalía;320;Flamenco Pop;01/12/2020
The Lost River;Rosalía;290;R&B;06/06/1970
Bright Lights;Rosalía;300;Flamenco Pop;03/04/1974
Whispering Echo;Rosalía;400;R&B;17/05/2024
Burning Stars;Rosalía;280;Flamenco Pop;13/06/1964
The Old Road;Rosalía;300;R&B;10/03/1968
Golden Dream;Rosalía;470;Flamenco Pop, R&B;31/03/1971
Midnight Sky of Night;Rosalía;250;R&B;26/06/1987
The Electric Dream;Maroon 5;350;Pop, Funk Rock;30/05/1990
Golden River;Maroon 5;390;Funk Rock;02/10/1961
Lonely Road;Maroon 5;290;Pop;23/10/1989
The Lost Echo;Maroon 5;220;Funk Rock;08/12/1983
Whispering Stars;Maroon 5;420;Pop;16/08/1977
Sweet Sound;Maroon 5;240;Funk Rock;30/11/1963
Broken Sky;Maroon 5;230;Pop;01/09/1994
The New Stars;Maroon 5;300;Funk Rock;04/01/1993
Bright Night;Maroon 5;450;Pop, Funk Rock;08/08/1964
Burning Heart of Night;Maroon 5;310;Funk Rock;24/07/1964
The Midnight Road;Roberto Carlos;330;MPB, Brazilian Pop;28/05/2006
Golden Fire;Roberto Carlos;310;Brazilian Pop;12/01/2004
Wild Heart;Roberto Carlos;370;MPB;28/10/1971
The Lost Sound;Roberto Carlos;400;Brazilian Pop;22/02/2010
Whispering Stars;Roberto Carlos;260;MPB;24/09/2007
Lonely Echo;Roberto Carlos;300;Brazilian Pop;02/02/1968
Burning Dream;Roberto Carlos;350;MPB, Brazilian Pop;07/10/1991
The Sweet Echo;Roberto Carlos;360;Brazilian Pop;20/03/2021
Bright Dream;Roberto Carlos;240;MPB;07/07/1987
The Silent Road;Roberto Carlos;290;Brazilian Pop;09/10/1986
The Wild Dream;Billie Eilish;290;Pop, Alternative;18/08/2023
Midnight Sky;Billie Eilish;230;Alternative;13/05/2017
Lonely Lights;Billie Eilish;340;Pop;26/02/1974
The Lost Road;Billie Eilish;410;Alternative;24/05/1968
Burning Fire;Billie Eilish;280;Pop;02/03/1980
Sweet River;Billie Eilish;200;Alternative;28/01/1961
The Silent Sound;Billie Eilish;390;Pop;14/02/1980
Dark Echo;Billie Eilish;330;Alternative;08/01/1966
Bright Night;Billie Eilish;290;Pop, Alternative;26/12/2006
Golden Heart of Sound;Billie Eilish;360;Alternative;07/07/2005
The Electric Heart;Rihanna;250;R&B, Dance;10/01/1996
Golden River;Rihanna;300;Pop;25/09/2010
Lonely Road;Rihanna;340;Dance;07/03/2011
The Lost Echo;Rihanna;260;R&B;03/11/1982
Whispering Stars;Rihanna;390;Pop;22/03/1980
Sweet Sound;Rihanna;210;Dance;12/09/2018
Broken Sky;Rihanna;320;R&B;14/09/1999
The New Stars;Rihanna;370;Pop;07/10/1963
Bright Night;Rihanna;250;Dance;15/07/1992
Burning Heart of Night;Rihanna;290;R&B, Pop;27/11/2013
The Golden Night;Lady Gaga;260;Pop, Dance;11/04/1987
Whispering Dream;Lady Gaga;470;Dance;05/06/2017
Lonely Stars;Lady Gaga;340;Pop;12/06/1991
The Silent Road;Lady Gaga;460;Dance;07/07/2014
Lost Fire;Lady Gaga;210;Pop;25/06/1992
Midnight Echo;Lady Gaga;270;Dance;07/04/2014
Sweet River;Lady Gaga;200;Pop;22/08/1995
Broken Sound;Lady Gaga;300;Dance;31/12/2014
The Bright Sky;Lady Gaga;360;Pop, Dance;30/10/2010
Burning Road;Lady Gaga;450;Dance;02/08/2001
The Wild Sound;Twenty One Pilots;300;Alternative, Pop;28/10/2024
Midnight Heart;Twenty One Pilots;250;Pop;07/09/1994
Lonely Dream;Twenty One Pilots;350;Alternative;17/07/1972
The Lost Sky;Twenty One Pilots;420;Pop;07/05/2023
Burning Lights;Twenty One Pilots;280;Alternative;14/10/2012
Sweet River;Twenty One Pilots;210;Pop;23/07/1997
The Old Sky;Twenty One Pilots;360;Alternative;29/11/1998
Dancing Stars;Twenty One Pilots;310;Pop;23/06/2003
The Bright Sky;Twenty One Pilots;250;Alternative, Pop;07/09/1987
Golden Echo of Love;Twenty One Pilots;460;Pop;15/08/1985
The Sweet Sound;Bruno Mars;230;Funk, Pop;11/10/1960
Silent Night;Bruno Mars;280;R&B;12/05/1973
Lonely Heart of Sky;Bruno Mars;330;Pop;17/10/2004
The Lost River;Bruno Mars;300;Funk;04/02/1962
Bright Lights;Bruno Mars;310;R&B;13/10/2014
Whispering Echo;Bruno Mars;410;Pop;04/03/1999
Burning Stars;Bruno Mars;290;Funk;28/01/2019
The Old Road;Bruno Mars;310;R&B;22/01/1983
Golden Dream;Bruno Mars;480;Pop, Funk;14/10/2018
Midnight Sky of Night;Bruno Mars;260;R&B;08/03/2021
The Electric Dream;Roberto Carlos;952;MPB, Brazilian Pop;02/03/1976
Golden River;Roberto Carlos;390;Brazilian Pop;08/02/1994
Lonely Road;Roberto Carlos;290;MPB;30/09/1966
The Lost Echo;Roberto Carlos;220;Brazilian Pop;11/05/1972
Whispering Stars;Roberto Carlos;420;MPB;07/01/2008
Sweet Sound;Roberto Carlos;240;Brazilian Pop;12/05/1975
Broken Sky;Roberto Carlos;230;MPB;19/04/2002
The New Stars;Roberto Carlos;300;Brazilian Pop;11/07/2015
Bright Night;Roberto Carlos;450;MPB, Brazilian Pop;15/02/1976
Burning Heart of Night;Roberto Carlos;310;Brazilian Pop;29/06/2012
The Lonely Stars;Eminem;300;Hip Hop, Rap;27/06/2001
Sweet River;Eminem;370;Rap;29/06/1987
The Old Sound;Eminem;230;Hip Hop;22/09/1992
